2856,8353,"Undirected",,,1,8,7,1883
2856,1015,"Undirected",,,1,8,7,1883
2856,1134,"Undirected",,,1,8,7,1883
2856,1995,"Undirected",,,1,8,7,1883
2856,2207,"Undirected",,,1,8,7,1883
2856,3203,"Undirected",,,1,8,7,1883
2856,3576,"Undirected",,,1,8,7,1883
2856,4430,"Undirected",,,1,8,7,1883
2856,4499,"Undirected",,,1,8,7,1883
2856,4514,"Undirected",,,1,8,7,1883
2856,5261,"Undirected",,,1,8,7,1883
2856,5957,"Undirected",,,1,8,7,1883
2856,7177,"Undirected",,,1,8,7,1883
2856,7337,"Undirected",,,1,8,7,1883
2856,8182,"Undirected",,,1,8,7,1883
7646,8353,"Undirected",,,1,1,12,1884
7646,1015,"Undirected",,,1,1,12,1884
7646,1134,"Undirected",,,1,1,12,1884
7646,1995,"Undirected",,,1,1,12,1884
7646,2207,"Undirected",,,1,1,12,1884
7646,3203,"Undirected",,,1,1,12,1884
7646,3576,"Undirected",,,1,1,12,1884
7646,4430,"Undirected",,,1,1,12,1884
7646,4499,"Undirected",,,1,1,12,1884
7646,4514,"Undirected",,,1,1,12,1884
7646,5261,"Undirected",,,1,1,12,1884
7646,5957,"Undirected",,,1,1,12,1884
7646,7177,"Undirected",,,1,1,12,1884
7646,7337,"Undirected",,,1,1,12,1884
7646,8182,"Undirected",,,1,1,12,1884
8063,8353,"Undirected",,,1,15,0,1884
8063,1015,"Undirected",,,1,15,0,1884
8063,1134,"Undirected",,,1,15,0,1884
8063,1995,"Undirected",,,1,15,0,1884
8063,2207,"Undirected",,,1,15,0,1884
8063,3203,"Undirected",,,1,15,0,1884
8063,3576,"Undirected",,,1,15,0,1884
8063,4430,"Undirected",,,1,15,0,1884
8063,4499,"Undirected",,,1,15,0,1884
8063,4514,"Undirected",,,1,15,0,1884
8063,5261,"Undirected",,,1,15,0,1884
8063,5957,"Undirected",,,1,15,0,1884
8063,7177,"Undirected",,,1,15,0,1884
8063,7337,"Undirected",,,1,15,0,1884
8063,8182,"Undirected",,,1,15,0,1884
805,8353,"Undirected",,,1,,,1884
805,1015,"Undirected",,,1,,,1884
805,1134,"Undirected",,,1,,,1884
805,1995,"Undirected",,,1,,,1884
805,2207,"Undirected",,,1,,,1884
805,3203,"Undirected",,,1,,,1884
805,3576,"Undirected",,,1,,,1884
805,4430,"Undirected",,,1,,,1884
805,4499,"Undirected",,,1,,,1884
805,4514,"Undirected",,,1,,,1884
805,5261,"Undirected",,,1,,,1884
805,5957,"Undirected",,,1,,,1884
805,7177,"Undirected",,,1,,,1884
805,7337,"Undirected",,,1,,,1884
805,8182,"Undirected",,,1,,,1884
3208,8353,"Undirected",,,1,14,0,1884
3208,1015,"Undirected",,,1,14,0,1884
3208,1134,"Undirected",,,1,14,0,1884
3208,1995,"Undirected",,,1,14,0,1884
3208,2207,"Undirected",,,1,14,0,1884
3208,3203,"Undirected",,,1,14,0,1884
3208,3576,"Undirected",,,1,14,0,1884
3208,4430,"Undirected",,,1,14,0,1884
3208,4499,"Undirected",,,1,14,0,1884
3208,4514,"Undirected",,,1,14,0,1884
3208,5261,"Undirected",,,1,14,0,1884
