"Ayer",0,202,1,0
"Ayres",0,203,1,0
"Babbitt",0,204,1,0
"Babcock",0,205,1,0
"Babcock",0,206,1,0
"Babcock",0,207,1,0
"Babcock",0,208,1,0
"Babcock",0,209,1,1
"Babcock",0,210,1,0
"Babcock",0,211,1,1
"Babcock",0,212,1,0
"Babich",0,213,0,0
"Bach",0,214,2,1
"Bach",0,215,2,0
"Bach",0,216,2,0
"Bache",0,217,2,1
"Bache",0,218,2,0
"Rache",0,219,2,1
"Bachem",0,220,2,0
"Bacher",0,221,2,0
"Backhouse",0,222,1,0
"Bacon",0,223,1,0
"Brocon",0,224,1,1
"Bacon",0,225,1,0
"Bacon",0,226,1,0
"Bacon",0,227,1,0
"Bacon",0,228,1,0
"Bacon",0,229,1,0
"Bacon",0,230,1,0
"Bacon",0,231,1,0
"Bade",0,232,2,1
"Badham",0,233,0,0
"Bagley",0,234,1,0
"Bailey",0,235,1,0
"Baird",0,236,6,0
"Baird",0,237,6,0
"Baird",0,238,6,0
"Baird",0,239,6,0
"Baird",0,240,6,0
"Baird",0,241,6,0
"Baker",0,242,1,0
"Baker",0,243,1,1
"Baker",0,244,1,0
"Baker",0,245,1,0
"Baker",0,246,1,1
"Baker",0,247,1,0
"Baker",0,248,1,0
"Baker",0,249,1,0
"Baker",0,250,1,0
"Baker",0,251,1,0
"Balard",0,252,0,1
"Balbera",0,253,0,0
"Balcu",0,254,0,1
"Baldwin",0,255,6,0
"Baldwin",0,256,6,0
"Baldwin",0,257,6,0
"Baldwin",0,258,6,0
"Baldwin",0,259,6,1
"Baldwin",0,260,6,0
"Baldwin",0,261,6,0
"Baldwin",0,262,6,0
"Ball",0,263,1,0
"Ball",0,264,1,0
"Ballard",0,265,1,1
"Ballard",0,266,1,0
"Ballard",0,267,1,1
"Ballardier",0,268,0,1
"Balletta",0,269,0,0
"Balloon",0,270,0,1
"Balsam",0,271,3,0
"Bamberger",0,272,3,1
"Bamberger",0,273,3,1
"Bamberger",0,274,3,1
"Bamberger",0,275,3,1
"Bamble",0,276,1,1
"Bamces",0,277,0,1
"Barues",0,278,6,1
"Bampton",0,279,1,1
"Bandelli",0,280,0,0
"Bandler",0,281,1,0
"Banes",0,282,0,0
"Bangs",0,283,1,0
"Banigan",0,284,1,0
"Banks",0,285,1,1
"Banks",0,286,1,0
"Banks",0,287,1,0
"Banres",0,288,0,1
"Banks",0,289,1,0
"Bannister",0,290,1,0
"Baruch",0,291,3,1
"Barbee",0,292,5,0
"Barbour",0,293,5,0
"Barclay",0,294,6,0
"Barclay",0,295,6,0
"Barclay",0,296,6,1
"Barcloy",0,297,6,0
"Barey",0,298,0,1
"Baring",0,299,1,0
"Barkdull",0,300,0,0
"Barker",0,301,1,0
"Barker",1,302,1,1
"Barker",1,303,1,0
"Barker",0,304,1,0
"Barker",0,305,1,1
"Barkey",0,306,1,0
"Barkey",0,307,1,0
"Barlett",0,308,1,1
"Barlett",0,309,1,1
"Barlett",0,310,1,1
"Barlow",0,311,1,0
"Barnberger",0,312,3,1
"Barnes",0,313,6,0
"Barnes",0,314,6,0
"Barnes",0,315,6,1
"Barnes",0,316,6,0
"Barnes",0,317,6,0
"Barnes",0,318,6,1
"Barnes",0,319,6,1
"Barnes",0,320,6,0
"Barnes",0,321,6,0
"Barnes",0,322,6,0
"Barnes",0,323,6,0
"Barnes",0,324,6,0
"Barnes",0,325,6,0
"Barnes",0,326,6,0
"Barneson",0,327,0,0
"Barnet",0,328,6,0
"Barnet",0,329,6,0
"Barnwell",0,330,1,1
"Barnwell",0,331,1,0
"Baroni",0,332,0,0
"Baroni",0,333,0,0
"Baroody",0,334,0,0
"Barr",0,335,6,0
"Barr",0,336,6,0
"Barrell",0,337,1,0
"Barrell",0,338,6,0
"Barrett",0,339,1,0
"Barrett",0,340,1,0
"Barry",0,341,1,0
"Barry",0,342,1,0
"Barry",0,343,1,0
"Barryl",0,344,0,0
"Batcheller",0,345,1,1
"Barstow",0,346,1,0
"Barthelmas",0,347,2,0
"Bartholomae",0,348,2,0
"Bartholomeus",0,349,2,0
"Bartholomew",0,350,2,0
"Bartle",0,351,1,0
"Bartlett",0,352,1,0
"Bartlett",0,353,1,0
"Bartlett",0,354,3,0
"Bartlett",0,355,1,0
"Bartlett",0,356,1,0
"Bartman",0,357,1,0
"Bartol",0,358,0,0
"Barton",0,359,6,0
"Barton",0,360,6,0
"Barton",0,361,6,0
"Bartow",0,362,6,0
"Bartram",0,363,1,0
"Bartsch",0,364,2,0
"Bartsch",0,365,2,0
"Baruch",0,366,3,1
"Baruch",0,367,3,0
"Baruch",0,368,3,1
"Baruch",0,369,3,1
"Baylis",0,370,1,1
"Bass",0,371,1,1
"Bass",0,372,1,1
"Bass",0,373,1,1
"Basset",0,374,5,0
"Batcheller",0,375,0,0
"Batchker",0,376,0,0
"Batos",0,377,0,1
"Bateman",0,378,0,1
"Baterman",0,379,0,0
"Bates",0,380,1,0
"Bates",0,381,1,0
"Bates",0,382,1,0
"Bates",0,383,1,0
"Bates",0,384,1,0
"Bates",0,385,5,0
"Bates",0,386,1,0
"Battlelle",0,387,5,1
"Battle",0,388,0,1
"Bauberger",0,389,3,1
"Baurs",0,390,0,1
"Baum",0,391,3,0
"Baumer",0,392,2,0
"Baumnann",0,393,2,1
"Baxter",0,394,1,0
"Baxter",0,395,6,0
"Baxter",0,396,6,1
"Bayer",0,397,2,1
"Bayer",0,398,2,1
"Bayles",0,399,1,0
"Bayles",0,400,1,0
"Baylies",0,401,1,1
"Baylis",0,402,1,0
"Bayne",0,403,1,1
"Bayne",0,404,1,0
"Beach",0,405,1,0
"Beadleston",0,406,1,1
"Beadleston",0,407,1,0
"Beal",0,408,1,0
"Bean",0,409,1,0
"Bean",0,410,1,0
"Beane",0,411,1,0
"Beane",0,412,1,0
"Beard",0,413,1,0
"Beardsley",0,414,1,0
"Bearn",0,415,0,1
"Bearns",0,416,0,0
"Beattie",0,417,6,0
"Beauchamp",0,418,5,1
"Beauchomp",0,419,5,0
"Beaver",0,420,1,0
"Beazell",0,421,0,0
"Bebee",0,422,0,0
"Bechdol",0,423,2,0
"Bechler",0,424,2,0
"Beck",0,425,2,0
"Beckens",0,426,2,1
"Becker",0,427,2,0
"Becker",0,428,2,0
"Becker",0,429,2,0
"Becker",0,430,2,0
"Becker",0,431,2,0
"Beckman",0,432,2,1
"Beckman",0,433,0,1
"Beckman",0,434,2,1
"Beckwith",0,435,1,0
"Beckwith",0,436,1,0
"Bedell",0,437,1,0
"Bedell",0,438,1,0
"Bedell",0,439,1,0
"Bedford",0,440,1,0
"Bedle",0,441,0,0
"Beebe",0,442,1,0
"Beebe",0,443,1,0
"Beebe",0,444,1,0
"Beeckman",0,445,0,0
"Beeckman",0,446,4,0
"Bieckeman",0,447,1,1
"Beehdoll",0,448,2,1
"Beekman",0,449,4,0
"Beekman",0,450,4,0
"Beekman",1,451,2,0
"Beer",0,452,2,0
"Beers",0,453,4,0
"Beers",0,454,4,1
"Beers",0,455,4,0
"Begg",0,456,1,0
"Behal",0,457,0,0
"Beinborn",0,458,2,0
"Beinhorn",0,459,2,0
"Beirne",0,460,1,0
"Belches",0,461,0,0
"Belden",0,462,0,0
"Belden",0,463,0,1
"Belin",0,464,3,0
"Bell",0,465,6,0
"Bell",0,466,6,0
"Bell",0,467,6,0
"Bell",0,468,6,0
"Bell",0,469,6,1
"Bell",0,470,6,0
"Bell",0,471,6,0
"Bell",0,472,6,0
"Bell",0,473,6,1
"Bell",0,474,6,1
"Bellamy",0,475,5,0
"Beller",0,476,2,0
"Bellin",0,477,3,0
"Belmont",0,478,5,0
"Bembo",0,479,0,1
"Bement",0,480,0,0
"Bend",0,481,0,1
"Bendix",0,482,3,0
"Berdan",0,483,6,1
"Benedict",0,484,1,1
"Benedies",0,485,1,1
"Benedict",0,486,1,0
"Benedict",0,487,1,0
"Benedict",0,488,1,1
"Benedict",0,489,1,1
"Benedict",0,490,1,0
"Benedict",0,491,1,1
"Benedict",0,492,1,1
"Benedict",0,493,1,0
"Benedict",0,494,1,1
"Benedict",0,495,1,1
"Benington",0,496,1,0
"Benisatto",0,497,0,0
"Benjamin",0,498,0,1
"Benjamin",0,499,1,0
"Benjamin",0,500,0,0
"Benjamin",0,501,0,0
"Benjaminson",0,502,3,0
"Benkard",0,503,0,0
"Benkard",0,504,0,0
"Bennet",0,505,1,0
"Bennet",0,506,1,1
"Bennett",0,507,6,0
"Bennett",0,508,6,0
"Bennett",0,509,6,0
"Bennett",0,510,6,0
"Bennington",0,511,1,0
"Benson",0,512,1,0
"Renson",0,513,1,0
"Benson",0,514,1,1
"Benton",0,515,1,0
"Benton",0,516,1,1
"Benton",0,517,1,1
"Benton",0,518,1,0
"Beorm",0,519,0,1
"Beorum",0,520,0,1
"Brown",0,521,1,0
"Berdan",0,522,6,0
"Berdan",0,523,0,0
"Berdell",0,524,1,0
"Berdell",0,525,1,0
"Berdell",0,526,1,1
"Berg",0,527,2,1
"Berg",0,528,2,0
"Bergen",0,529,2,0
"Bergen",0,530,2,0
"Berger",0,531,2,1
"Berghold",0,532,2,0
"Bergrath",0,533,2,0
"Berinstein",0,534,3,0
"Berkowitz",0,535,3,0
"Berkowitz",0,536,3,0
"Berl",0,537,0,0
"Berlinger",0,538,2,0
"Berman",0,539,0,0
"Bermett",0,540,0,0
"Bernard",0,541,1,1
"Berner",0,542,2,1
"Bernhard",0,543,2,0
"Bernheim",0,544,2,0
"Bernheim",0,545,2,0
"Bernheimer",0,546,2,0
"Bernheimer",0,547,3,0
"Bernheimer",0,548,3,0
"Bernstein",0,549,3,0
"Bernstein",0,550,3,0
"Bernstein",0,551,3,0
"Bernstein",0,552,3,0
"Bernstein",0,553,3,0
"Berry",0,554,1,0
"Bertolas",0,555,0,0
"Berton",0,556,5,0
"Bertsch",0,557,2,0
"Beruheim",0,558,3,1
"Besse",0,559,2,0
"Bessil",0,560,0,1
"Best",0,561,1,0
"Betancourt",0,562,0,0
"Betts",0,563,1,0
"Betts",0,564,1,0
"Betts",0,565,5,1
"Betts",0,566,0,1
"Beukard",0,567,0,0
"Beyer",0,568,2,0
"Bianchi",0,569,0,0
"Biauchi",0,570,0,0
"Bickley",0,571,1,1
"Biddison",0,572,0,0
"Bidwell",0,573,1,0
"Bilein",0,574,0,1
"Billet",0,575,5,0
"Billhardt",0,576,2,0
"Billings",0,577,1,0
"Billings",0,578,0,1
"Billings",1,579,1,1
"Bilofshy",0,580,0,0
"Bindler",0,581,2,0
"Bine",0,582,0,0
"Bingham",0,583,6,0
"Bingham",0,584,0,0
"Binkley",0,585,1,0
"Birch",0,586,1,0
"Bird",0,587,1,0
"Birl",0,588,0,1
"Bird",0,589,1,0
"Bird",0,590,1,0
"Bird",0,591,1,0
"Birr",0,592,1,0
"Bishop",0,593,1,0
"Bishop",0,594,1,0
"Bishop",0,595,1,0
"Bishop",0,596,1,0
"Bishop",0,597,1,0
"Bishop",0,598,1,0
"Bisland",0,599,0,0
"Bissell",0,600,1,0
"Bissell",0,601,1,0
"Bissinger",0,602,2,0
"Bisuchi",0,603,0,1
"Bixby",0,604,1,0
"Black",0,605,6,0
"Black",0,606,6,1
"Blackwell",0,607,1,0
"Blacque",0,608,0,1
"Blayden",0,609,0,1
"Blagden",1,610,1,1
"Blagden",0,611,1,0
"Blagden",0,612,1,1
"Blaikie",0,613,6,0
"Blair",1,614,6,1
"Blair",1,615,6,1
"Blair",1,616,6,0
"Blair",0,617,6,0
"Blair",0,618,6,1
"Blair",0,619,6,0
"Blair",0,620,6,0
"Blake",0,621,1,0
"Blake",0,622,1,1
"Blakney",0,623,1,0
"Blanchfield",0,624,1,0
"Bland",0,625,1,0
"Bland",0,626,6,1
"Blandy",0,627,0,0
"Blatchford",0,628,1,0
"Blauner",0,629,2,0
"Blauner",0,630,2,0
"Lawrence",1,631,1,0
"Bleibtreu",0,632,5,1
"Bleibtreu",0,633,5,0
"Bleibtreu",0,634,5,0
"Bleiner",0,635,2,1
"Bleumenthal",0,636,3,1
"Bleyer",0,637,2,0
"Blim",0,638,0,0
"Blinn",0,639,1,0
"Bliss",0,640,1,0
"Bliss",0,641,1,0
"Bliss",0,642,1,0
"Bliss",0,643,1,0
"Bliss",0,644,1,0
"Bloch",0,645,3,1
"Bloch",0,646,3,0
"Bloek",0,647,4,1
"Block",0,648,4,0
"Block",0,649,4,1
"Block",0,650,4,0
"Block",0,651,4,0
"Blockwood",0,652,1,0
"Blood",0,653,1,0
"Bloonyrrel",0,654,1,1
"Bloom",0,655,0,0
"Bloom",0,656,0,0
"Bloomer",0,657,1,0
"Bloomingdale",0,658,1,0
"Bloydon",0,659,0,1
"Blum",0,660,2,0
"Blum",0,661,2,0
"Blum",0,662,2,0
"Blumenthal",0,663,3,0
"Blumenthal",0,664,3,0
"Blumenthal",0,665,3,0
"Blumenthal",0,666,3,0
"Bluweustel",0,667,3,1
"Blumenthal",0,668,3,0
"Blumenthal",0,669,3,0
"Blumenthal",0,670,3,0
"Blumenthal",0,671,3,0
"Blun",0,672,3,0
"Bluwenetial",0,673,3,1
"Broma",0,674,1,1
"Boardman",0,675,1,1
"Boardman",0,676,1,0
"Boardman",0,677,1,0
"Boas",0,678,2,0
"Bobeck",0,679,2,0
"Bocklet",0,680,0,0
"Bocklet",0,681,0,0
"Bockskoph",0,682,0,0
"Bodell",0,683,1,0
"Bodern",0,684,0,0
"Boesel",0,685,4,0
"Bogah",0,686,0,1
"Bogart",0,687,1,1
"Bogart",0,688,1,0
"Bogert",0,689,5,0
"Bog ert",0,690,5,1
"Bogert",0,691,5,0
"Bogert",0,692,5,0
"Bognl",0,693,0,1
"Bogy",0,694,0,0
"Bohen",0,695,0,1
"Bohner",0,696,0,0
"Boland",0,697,1,0
"Boliver",0,698,0,1
"Bolles",0,699,0,0
"Bollinger",0,700,2,0
"Bollt",0,701,0,0
"Bonbright",0,702,1,0
"Bond",0,703,1,0
"Bond",0,704,1,0
"Bowden",0,705,0,1
"Bonhag",0,706,0,0
"Bonhag",0,707,0,0
"Bonn",0,708,3,0
"Bonn",0,709,3,0
"Bonn",0,710,3,0
"Bonnell",0,711,0,0
"Bonner",0,712,3,0
"Bonner",0,713,3,1
"Bonner",0,714,3,0
"Bonner",0,715,6,0
"Bonnert",0,716,0,1
"Bontecon",0,717,4,1
"Bontecou",0,718,4,0
"Boody",0,719,1,1
"Boody",1,720,1,1
"Boody",1,721,1,0
"Boody",0,722,1,1
"Book",0,723,1,0
"Booker",0,724,1,0
"Booth",0,725,1,0
"Booth",0,726,1,0
"Booth",0,727,1,0
"Boots",0,728,4,0
"Borden",0,729,1,0
"Bordora",0,730,0,1
"Borg",0,731,0,0
"Borland",0,732,1,1
"Borland",0,733,1,0
"Borland",0,734,1,1
"Borman",0,735,2,0
"Borner",0,736,2,1
"Borner",0,737,2,1
"Dominick",0,738,5,1
"Bortko",0,739,0,0
"Boserex",0,740,0,1
"Boskowitz",0,741,0,0
"Bosque",0,742,0,1
"Bosten",0,743,0,0
"Bostrom",0,744,0,0
"Bostwick",0,745,1,0
"Bostwick",0,746,1,0
"Bostwick",0,747,1,0
"Bouden",0,748,0,0
"Boulton",0,749,1,1
"Bound",0,750,1,0
"Bouner",0,751,0,1
"Bourne",0,752,1,0
"Bourne",0,753,1,0
